"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
30.300,0.26,0.02,1.28
30.350,0.26,0.08,1.09
30.400,0.27,0.13,0.70
30.450,0.28,0.16,0.21
30.500,0.29,0.15,-0.31
30.550,0.29,0.12,-0.66
30.600,0.30,0.07,-0.85
30.650,0.30,0.04,-1.06
30.700,0.30,-0.02,-1.31
30.750,0.31,-0.10,-1.28
30.800,0.29,-0.18,-0.65
30.850,0.28,-0.19,0.18
30.900,0.27,-0.13,0.74
30.950,0.27,-0.09,0.95
31.000,0.26,-0.05,1.07
31.050,0.26,0.02,1.15
31.100,0.27,0.08,1.01
31.150,0.27,0.13,0.70
31.200,0.28,0.15,0.29
31.250,0.29,0.16,-0.16
31.300,0.29,0.13,-0.66
31.350,0.30,0.09,-1.19
31.400,0.30,0.01,-1.47
31.450,0.31,-0.08,-1.37
31.500,0.29,-0.14,-0.85
31.550,0.29,-0.17,-0.22
31.600,0.28,-0.15,0.32
31.650,0.27,-0.13,0.71
31.700,0.27,-0.08,0.96
31.750,0.26,-0.03,1.10
31.800,0.26,0.03,1.09
31.850,0.27,0.09,0.92
31.900,0.27,0.13,0.58
31.950,0.28,0.15,0.12
32.000,0.29,0.14,-0.37
32.050,0.30,0.11,-0.79
32.100,0.30,0.06,-1.06
32.150,0.30,0.00,-1.16
32.200,0.30,-0.06,-1.06
32.250,0.30,-0.11,-0.79
32.300,0.29,-0.15,-0.37
32.350,0.28,-0.16,0.14
32.400,0.27,-0.13,0.64
32.450,0.27,-0.09,1.02
32.500,0.26,-0.02,1.20
32.550,0.26,0.04,1.15
32.600,0.27,0.10,0.90
32.650,0.27,0.14,0.49
32.700,0.28,0.15,0.02
32.750,0.29,0.14,-0.45
32.800,0.30,0.10,-0.83
32.850,0.30,0.05,-1.07
32.900,0.30,-0.01,-1.09
32.950,0.30,-0.07,-0.93
33.000,0.29,-0.11,-0.66
33.050,0.29,-0.13,-0.34
33.100,0.28,-0.14,0.10
33.150,0.27,-0.13,0.59
33.200,0.27,-0.08,0.98
33.250,0.26,-0.02,1.12
33.300,0.27,0.04,1.04
33.350,0.27,0.09,0.86
33.400,0.27,0.13,0.56
33.450,0.28,0.15,0.10
33.500,0.29,0.14,-0.47
33.550,0.30,0.10,-0.96
33.600,0.30,0.04,-1.17
33.650,0.30,-0.03,-1.12
33.700,0.30,-0.08,-0.87
33.750,0.29,-0.12,-0.53
33.800,0.28,-0.14,-0.15
33.850,0.28,-0.13,0.27
33.900,0.27,-0.11,0.65
33.950,0.27,-0.07,0.94
34.000,0.26,-0.01,1.09
34.050,0.26,0.05,1.04
34.100,0.27,0.10,0.79
34.150,0.28,0.13,0.39
34.200,0.28,0.14,-0.08
34.250,0.29,0.13,-0.52
34.300,0.30,0.09,-0.87
34.350,0.30,0.03,-1.09
34.400,0.30,-0.03,-1.11
34.450,0.30,-0.08,-0.92
34.500,0.29,-0.13,-0.55
34.550,0.28,-0.14,-0.10
34.600,0.28,-0.14,0.35
34.650,0.27,-0.11,0.76
34.700,0.26,-0.06,1.03
34.750,0.26,0.01,1.10
34.800,0.27,0.06,0.97
34.850,0.27,0.11,0.68
34.900,0.28,0.13,0.29
34.950,0.28,0.14,-0.14
35.000,0.29,0.12,-0.54
35.050,0.30,0.08,-0.83
35.100,0.30,0.03,-0.98
35.150,0.30,-0.02,-1.02
35.200,0.30,-0.07,-0.92
35.250,0.29,-0.12,-0.63
35.300,0.28,-0.15,-0.16
35.350,0.28,-0.14,0.35
35.400,0.27,-0.11,0.77
35.450,0.27,-0.06,1.02
35.500,0.26,7.80E-4,1.11
35.550,0.27,0.06,1.01
35.600,0.27,0.11,0.71
35.650,0.28,0.14,0.27
35.700,0.29,0.14,-0.23
35.750,0.29,0.11,-0.66
35.800,0.30,0.07,-0.91
35.850,0.30,0.01,-0.95
35.900,0.30,-0.03,-0.88
35.950,0.29,-0.07,-0.78
36.000,0.29,-0.11,-0.54
36.050,0.28,-0.14,-0.10
36.100,0.28,-0.13,0.41
36.150,0.27,-0.09,0.77
36.200,0.27,-0.04,0.95
36.250,0.26,0.01,1.04
36.300,0.27,0.06,0.98
36.350,0.27,0.12,0.69
36.400,0.28,0.14,0.20
36.450,0.29,0.14,-0.34
36.500,0.29,0.11,-0.74
36.550,0.30,0.05,-0.99
36.600,0.30,9.80E-4,-1.03
36.650,0.30,-0.06,-0.90
36.700,0.29,-0.09,-0.61
36.750,0.29,-0.12,-0.24
36.800,0.28,-0.12,0.11
36.850,0.27,-0.10,0.39
36.900,0.27,-0.08,0.62
36.950,0.27,-0.04,0.86
37.000,0.27,0.01,1.00
37.050,0.27,0.07,0.91
37.100,0.27,0.11,0.59
37.150,0.28,0.13,0.16
37.200,0.29,0.13,-0.25
37.250,0.29,0.10,-0.63
37.300,0.30,0.06,-0.89
37.350,0.30,0.01,-1.00
37.400,0.30,-0.05,-0.90
37.450,0.29,-0.09,-0.65
37.500,0.29,-0.11,-0.34
37.550,0.28,-0.12,-0.02
37.600,0.28,-0.12,0.34
37.650,0.27,-0.09,0.77
37.700,0.27,-0.04,1.07
37.750,0.27,0.03,1.08
37.800,0.27,0.08,0.85
37.850,0.27,0.11,0.52
37.900,0.28,0.13,0.15
37.950,0.29,0.13,-0.29
38.000,0.30,0.11,-0.73
38.050,0.30,0.05,-1.03
38.100,0.30,-0.01,-1.09
38.150,0.30,-0.06,-0.91
38.200,0.29,-0.11,-0.60
38.250,0.29,-0.12,-0.24
38.300,0.28,-0.13,0.16
38.350,0.27,-0.11,0.53
38.400,0.27,-0.07,0.83
38.450,0.27,-0.02,0.96
38.500,0.27,0.03,0.92
38.550,0.27,0.07,0.75
38.600,0.27,0.11,0.48
38.650,0.28,0.13,0.10
38.700,0.29,0.12,-0.35
38.750,0.29,0.09,-0.75
38.800,0.30,0.04,-0.97
38.850,0.30,-0.01,-0.93
38.900,0.30,-0.06,-0.72
38.950,0.29,-0.09,-0.48
39.000,0.29,-0.11,-0.25
39.050,0.28,-0.12,0.03
39.100,0.27,-0.11,0.44
39.150,0.27,-0.07,0.81
39.200,0.27,-0.02,0.98
39.250,0.27,0.03,0.93
39.300,0.27,0.08,0.72
39.350,0.27,0.11,0.44
39.400,0.28,0.13,0.05
39.450,0.29,0.12,-0.37
39.500,0.29,0.09,-0.70
39.550,0.30,0.04,-0.88
39.600,0.30,-0.01,-0.95
39.650,0.30,-0.06,-0.90
39.700,0.29,-0.11,-0.67
39.750,0.28,-0.13,-0.21
39.800,0.28,-0.13,0.30
39.850,0.27,-0.09,0.69
39.900,0.27,-0.05,0.88
39.950,0.27,0.00,0.94
40.000,0.27,0.04,0.90
40.050,0.27,0.09,0.68
40.100,0.28,0.12,0.30
40.150,0.28,0.12,-0.14
40.200,0.29,0.10,-0.48
40.250,0.29,0.07,-0.71
40.300,0.30,0.03,-0.85
40.350,0.30,-0.02,-0.89
40.400,0.30,-0.07,-0.77
40.450,0.29,-0.10,-0.49
40.500,0.28,-0.12,-0.13
40.550,0.28,-0.12,0.27
40.600,0.27,-0.09,0.62
40.650,0.27,-0.05,0.84
40.700,0.27,0.00,0.88
40.750,0.27,0.04,0.78
40.800,0.27,0.08,0.60
40.850,0.28,0.11,0.34
40.900,0.28,0.12,-0.03
40.950,0.29,0.11,-0.46
41.000,0.29,0.07,-0.79
41.050,0.30,0.02,-0.90
41.100,0.30,-0.03,-0.83
41.150,0.29,-0.06,-0.68
41.200,0.29,-0.09,-0.48
41.250,0.28,-0.12,-0.15
41.300,0.28,-0.12,0.26
41.350,0.27,-0.09,0.62
41.400,0.27,-0.05,0.84
41.450,0.27,-1.85E-4,0.91
41.500,0.27,0.05,0.84
41.550,0.27,0.09,0.61
41.600,0.28,0.11,0.27
41.650,0.28,0.12,-0.10
41.700,0.29,0.10,-0.45
41.750,0.29,0.07,-0.76
41.800,0.30,0.02,-0.98
41.850,0.30,-0.04,-0.97
41.900,0.29,-0.09,-0.68
41.950,0.29,-0.11,-0.29
42.000,0.28,-0.11,0.03
42.050,0.28,-0.10,0.30
42.100,0.27,-0.08,0.58
42.150,0.27,-0.04,0.81
42.200,0.27,0.01,0.89
42.250,0.27,0.05,0.79
42.300,0.27,0.09,0.56
42.350,0.28,0.11,0.22
42.400,0.28,0.11,-0.16
42.450,0.29,0.09,-0.49
42.500,0.29,0.06,-0.74
42.550,0.30,0.02,-0.89
42.600,0.30,-0.03,-0.89
42.650,0.29,-0.08,-0.69
42.700,0.29,-0.11,-0.37
42.750,0.28,-0.11,0.01
42.800,0.28,-0.11,0.37
42.850,0.27,-0.08,0.67
42.900,0.27,-0.03,0.85
42.950,0.27,0.01,0.88
43.000,0.27,0.06,0.74
43.050,0.27,0.09,0.46
43.100,0.28,0.11,0.11
43.150,0.29,0.10,-0.24
43.200,0.29,0.08,-0.48
43.250,0.29,0.05,-0.63
43.300,0.30,0.02,-0.75
43.350,0.29,-0.02,-0.83
43.400,0.30,-0.07,-0.75
43.450,0.29,-0.11,-0.42
43.500,0.28,-0.12,0.02
43.550,0.28,-0.10,0.42
43.600,0.27,-0.07,0.71
43.650,0.27,-0.03,0.86
43.700,0.27,0.02,0.87
43.750,0.27,0.06,0.71
43.800,0.27,0.09,0.43
43.850,0.28,0.11,0.14
43.900,0.29,0.11,-0.17
43.950,0.29,0.10,-0.54
44.000,0.30,0.06,-0.87
44.050,0.30,0.00,-0.98
44.100,0.29,-0.06,-0.79
44.150,0.29,-0.09,-0.50
44.200,0.29,-0.10,-0.23
44.250,0.28,-0.11,0.07
44.300,0.28,-0.10,0.45
44.350,0.27,-0.06,0.76
44.400,0.27,-0.01,0.83
44.450,0.27,0.03,0.74
44.500,0.27,0.06,0.60
44.550,0.28,0.09,0.41
44.600,0.28,0.11,0.12
44.650,0.29,0.10,-0.25
44.700,0.29,0.08,-0.58
44.750,0.30,0.04,-0.77
44.800,0.30,0.00,-0.83
44.850,0.29,-0.05,-0.74
44.900,0.29,-0.08,-0.53
44.950,0.29,-0.10,-0.23
45.000,0.28,-0.11,0.11
45.050,0.28,-0.09,0.43
45.100,0.27,-0.06,0.68
45.150,0.27,-0.02,0.80
45.200,0.27,0.03,0.77
45.250,0.27,0.06,0.62
45.300,0.28,0.09,0.38
45.350,0.28,0.10,0.11
45.400,0.29,0.10,-0.19
45.450,0.29,0.09,-0.52
45.500,0.29,0.05,-0.81
45.550,0.30,0.00,-0.95
45.600,0.29,-0.06,-0.82
45.650,0.29,-0.09,-0.51
45.700,0.29,-0.10,-0.15
45.750,0.28,-0.11,0.20
45.800,0.27,-0.09,0.51
45.850,0.27,-0.05,0.74
45.900,0.27,-0.01,0.81
45.950,0.27,0.03,0.75
46.000,0.27,0.07,0.61
46.050,0.28,0.10,0.37
46.100,0.28,0.11,-0.01
46.150,0.29,0.10,-0.45
46.200,0.30,0.06,-0.76
46.250,0.29,0.01,-0.81
46.300,0.29,-0.03,-0.72
46.350,0.29,-0.05,-0.59
46.400,0.29,-0.09,-0.39
46.450,0.28,-0.10,-0.09
46.500,0.28,-0.09,0.24
46.550,0.27,-0.07,0.49
46.600,0.27,-0.04,0.64
46.650,0.27,-0.01,0.73
46.700,0.27,0.03,0.73
46.750,0.27,0.07,0.59
46.800,0.28,0.10,0.31
46.850,0.28,0.10,-0.04
46.900,0.29,0.09,-0.38
46.950,0.29,0.06,-0.65
47.000,0.30,0.02,-0.78
47.050,0.30,-0.02,-0.76
47.100,0.29,-0.06,-0.63
47.150,0.29,-0.08,-0.39
47.200,0.28,-0.10,-0.11
47.250,0.28,-0.09,0.19
47.300,0.27,-0.08,0.45
47.350,0.27,-0.05,0.66
47.400,0.27,-0.01,0.83
47.450,0.27,0.04,0.85
47.500,0.27,0.09,0.64
47.550,0.28,0.11,0.22
47.600,0.29,0.11,-0.21
47.650,0.29,0.08,-0.49
47.700,0.29,0.05,-0.65
47.750,0.30,0.02,-0.73
47.800,0.30,-0.02,-0.74
47.850,0.29,-0.06,-0.62
47.900,0.29,-0.09,-0.36
47.950,0.28,-0.10,-0.04
48.000,0.28,-0.09,0.29
48.050,0.27,-0.07,0.55
48.100,0.27,-0.03,0.73
48.150,0.27,0.00,0.79
48.200,0.27,0.05,0.67
48.250,0.27,0.08,0.39
48.300,0.28,0.09,0.07
48.350,0.28,0.08,-0.16
48.400,0.29,0.07,-0.35
48.450,0.29,0.05,-0.56
48.500,0.29,0.01,-0.71
48.550,0.29,-0.03,-0.71
48.600,0.29,-0.06,-0.54
48.650,0.29,-0.08,-0.30
48.700,0.28,-0.09,-0.02
48.750,0.28,-0.09,0.25
48.800,0.27,-0.07,0.50
48.850,0.27,-0.04,0.69
48.900,0.27,0.01,0.77
48.950,0.27,0.05,0.69
49.000,0.27,0.08,0.47
49.050,0.28,0.10,0.16
49.100,0.28,0.10,-0.15
49.150,0.29,0.08,-0.42
49.200,0.29,0.05,-0.67
49.250,0.29,0.01,-0.83
49.300,0.30,-0.04,-0.82
49.350,0.29,-0.08,-0.58
49.400,0.29,-0.10,-0.24
49.450,0.28,-0.10,0.09
49.500,0.28,-0.09,0.37
49.550,0.27,-0.06,0.60
49.600,0.27,-0.03,0.76
49.650,0.27,0.02,0.78
49.700,0.27,0.06,0.63
49.750,0.28,0.09,0.37
49.800,0.28,0.10,0.07
49.850,0.29,0.09,-0.22
49.900,0.29,0.07,-0.48
49.950,0.29,0.04,-0.67
50.000,0.29,0.00,-0.74
50.050,0.29,-0.04,-0.67
50.100,0.29,-0.07,-0.49
50.150,0.29,-0.09,-0.23
50.200,0.28,-0.09,0.05
50.250,0.28,-0.08,0.32
50.300,0.27,-0.06,0.54
50.350,0.27,-0.03,0.68
50.400,0.27,0.01,0.72
50.450,0.27,0.05,0.63
50.500,0.27,0.08,0.41
50.550,0.28,0.09,0.10
50.600,0.28,0.09,-0.18
50.650,0.29,0.07,-0.40
50.700,0.29,0.05,-0.60
50.750,0.29,0.01,-0.77
50.800,0.30,-0.03,-0.81
50.850,0.29,-0.08,-0.59
50.900,0.29,-0.10,-0.22
50.950,0.28,-0.09,0.13
51.000,0.28,-0.08,0.41
51.050,0.27,-0.05,0.62
51.100,0.27,-0.02,0.74
51.150,0.27,0.02,0.75
51.200,0.27,0.06,0.62
51.250,0.28,0.09,0.32
51.300,0.28,0.10,-0.07
51.350,0.29,0.08,-0.40
51.400,0.29,0.05,-0.56
51.450,0.29,0.02,-0.61
51.500,0.29,-0.01,-0.62
51.550,0.29,-0.04,-0.58
51.600,0.29,-0.07,-0.43
51.650,0.28,-0.09,-0.17
51.700,0.28,-0.09,0.14
51.750,0.27,-0.07,0.43
51.800,0.27,-0.04,0.63
51.850,0.27,-0.01,0.69
51.900,0.27,0.03,0.64
51.950,0.27,0.06,0.50
52.000,0.28,0.08,0.30
52.050,0.28,0.09,0.01
52.100,0.29,0.09,-0.31
52.150,0.29,0.06,-0.55
52.200,0.29,0.02,-0.67
52.250,0.29,-0.01,-0.66
52.300,0.29,-0.04,-0.58
52.350,0.29,-0.07,-0.43
52.400,0.28,-0.09,-0.20
52.450,0.28,-0.09,0.10
52.500,0.27,-0.08,0.42
52.550,0.27,-0.05,0.65
52.600,0.27,-0.01,0.74
52.650,0.27,0.03,0.68
52.700,0.27,0.06,0.51
52.750,0.28,0.08,0.29
52.800,0.28,0.09,0.02
52.850,0.29,0.09,-0.29
52.900,0.29,0.06,-0.56
52.950,0.29,0.03,-0.71
53.000,0.29,-0.01,-0.70
53.050,0.29,-0.05,-0.55
53.100,0.29,-0.07,-0.34
53.150,0.28,-0.08,-0.12
53.200,0.28,-0.08,0.12
53.250,0.28,-0.07,0.41
53.300,0.27,-0.04,0.64
53.350,0.27,-5.47E-4,0.69
53.400,0.27,0.03,0.59
53.450,0.28,0.06,0.41
53.500,0.28,0.07,0.23
53.550,0.28,0.08,0.00
53.600,0.29,0.08,-0.29
53.650,0.29,0.05,-0.53
53.700,0.29,0.02,-0.66
53.750,0.29,-0.02,-0.65
53.800,0.29,-0.05,-0.52
53.850,0.29,-0.07,-0.30
53.900,0.28,-0.08,-0.04
53.950,0.28,-0.08,0.21
54.000,0.27,-0.06,0.42
54.050,0.27,-0.03,0.57
54.100,0.27,-1.03E-6,0.65
54.150,0.27,0.04,0.61
54.200,0.27,0.07,0.45
54.250,0.28,0.08,0.21
54.300,0.28,0.09,-0.08
54.350,0.29,0.08,-0.33
54.400,0.29,0.05,-0.53
54.450,0.29,0.02,-0.67
54.500,0.29,-0.02,-0.74
54.550,0.29,-0.06,-0.64
54.600,0.29,-0.09,-0.33
54.650,0.28,-0.10,0.03
54.700,0.28,-0.08,0.32
54.750,0.27,-0.06,0.51
54.800,0.27,-0.03,0.64
54.850,0.27,0.01,0.69
54.900,0.27,0.04,0.62
54.950,0.27,0.07,0.42
55.000,0.28,0.09,0.13
55.050,0.28,0.09,-0.16
55.100,0.29,0.07,-0.39
55.150,0.29,0.04,-0.54
55.200,0.29,0.01,-0.61
55.250,0.29,-0.02,-0.63
55.300,0.29,-0.05,-0.57
55.350,0.29,-0.08,-0.35
55.400,0.28,-0.09,-0.02
55.450,0.28,-0.08,0.29
55.500,0.27,-0.06,0.48
55.550,0.27,-0.03,0.60
55.600,0.27,0.00,0.65
55.650,0.27,0.04,0.60
55.700,0.27,0.07,0.41
55.750,0.28,0.08,0.14
55.800,0.28,0.08,-0.14
55.850,0.29,0.07,-0.39
55.900,0.29,0.04,-0.54
55.950,0.29,0.01,-0.57
56.000,0.29,-0.02,-0.54
56.050,0.29,-0.05,-0.48
56.100,0.29,-0.07,-0.33
56.150,0.28,-0.09,-0.01
56.200,0.28,-0.08,0.32
56.250,0.27,-0.04,0.52
56.300,0.27,-0.02,0.56
56.350,0.27,0.01,0.55
56.400,0.27,0.04,0.56
56.450,0.28,0.07,0.43
56.500,0.28,0.09,0.12
56.550,0.29,0.09,-0.27
56.600,0.29,0.06,-0.56
56.650,0.29,0.02,-0.62
56.700,0.29,-0.01,-0.57
56.750,0.29,-0.03,-0.50
56.800,0.29,-0.06,-0.39
56.850,0.28,-0.08,-0.20
56.900,0.28,-0.08,0.09
56.950,0.28,-0.07,0.36
57.000,0.27,-0.04,0.55
57.050,0.27,-0.01,0.61
57.100,0.27,0.02,0.57
57.150,0.27,0.05,0.46
57.200,0.28,0.07,0.29
57.250,0.28,0.08,0.06
57.300,0.29,0.08,-0.20
57.350,0.29,0.06,-0.43
57.400,0.29,0.03,-0.57
57.450,0.29,0.00,-0.61
57.500,0.29,-0.03,-0.52
57.550,0.29,-0.06,-0.35
57.600,0.29,-0.07,-0.18
57.650,0.28,-0.07,-0.01
57.700,0.28,-0.07,0.21
57.750,0.27,-0.06,0.49
57.800,0.27,-0.02,0.67
57.850,0.27,0.02,0.67
57.900,0.27,0.05,0.52
57.950,0.28,0.07,0.29
58.000,0.28,0.08,0.06
58.050,0.29,0.08,-0.19
58.100,0.29,0.06,-0.43
58.150,0.29,0.03,-0.60
58.200,0.29,0.00,-0.66
58.250,0.29,-0.04,-0.57
58.300,0.29,-0.07,-0.38
58.350,0.28,-0.08,-0.13
58.400,0.28,-0.08,0.13
58.450,0.28,-0.07,0.37
58.500,0.27,-0.04,0.55
58.550,0.27,-0.01,0.62
58.600,0.27,0.03,0.55
58.650,0.27,0.05,0.39
58.700,0.28,0.07,0.19
58.750,0.28,0.07,0.00
58.800,0.29,0.07,-0.21
58.850,0.29,0.05,-0.42
58.900,0.29,0.02,-0.57
58.950,0.29,-0.01,-0.60
59.000,0.29,-0.04,-0.49
59.050,0.29,-0.06,-0.28
59.100,0.28,-0.07,-0.05
59.150,0.28,-0.07,0.14
59.200,0.28,-0.06,0.31
59.250,0.27,-0.04,0.47
59.300,0.27,-0.01,0.58
59.350,0.27,0.03,0.56
59.400,0.27,0.05,0.43
59.450,0.28,0.07,0.23
59.500,0.28,0.08,-0.02
59.550,0.29,0.07,-0.27
59.600,0.29,0.05,-0.45
59.650,0.29,0.02,-0.55
59.700,0.29,-0.01,-0.60
59.750,0.29,-0.04,-0.60
59.800,0.29,-0.07,-0.45
59.850,0.28,-0.09,-0.11
59.900,0.28,-0.09,0.25
59.950,0.27,-0.06,0.52
60.000,0.27,-0.03,0.66
60.050,0.27,0.01,0.67
60.100,0.27,0.05,0.53
60.150,0.28,0.07,0.28
60.200,0.28,0.07,0.06
60.250,0.28,0.07,-0.10
60.300,0.29,0.06,
60.350,0.29,0.05,
60.400,0.29,,
